balgaro	lojbo	glico
български	ni'o ni'o ni'o bau le lojbo	English version
Самодива	ni'o ni'o le ricfoi crida	Forest nymph
Елин Пелин	ni'o la .ielin.pelin. di'e finti	Elin Pelin
Оригинал на български	.i fanva fi le lojbo le balgaro fa la gleki	translated from Bulgarian by la gleki
Намерих я в дълбоките горски усои. Тя седеше тъжна и разплакана край зелений бряг на един бистър поток. Прозрачен и рохав като речна сутринна мъгла воал покриваше очарователното й тяло. Буйни, златоруси коси се разстилаха по снежнобелите й плещи, както млад овчар разстила вакло стадо от падина на падина. Мъничките й мраморни крачка се миеха от струите на бистрия поток. До нея лежеха захвърлени повехнали горски цветя и венец от жълта иглика.	.i penmi fa mi fi le noi condi ku'o fenra be lo ricfoi i ra ca'o zutse fau lo nu ra badri gi'e ba'o klaku vau ne'a le crino korbi be le klina rirxe be ve'i i le murta taxfu noi klina gi'e kluza tai lo nu cerni bumru ne'a lo rirxe cu gacri le pluka xadni be ra i lei kerfu ku noi viknu cu tcena le snime blabi janco be le birka be ra tai lo nu lo citno dalgidva cu jai gau muvdu fa lo dalgunma be lo co'a ruble lo salpo lo salpo i le mutce cmalu jamfu be ra ca'o se lumci le flecu be le klina rirxe be ve'i i ne'a ra zvati fa le noi se renro gi'e ba'o vifne ku'o za'u ricfoi xrula e le pa se jivbu be fi lo pelxu primula	My encounter happened in the deep forest ravines. She was sitting, sad and tearful, by the verdant bank of a clear stream. Transparent and mottled like river morning mist, a veil covered her enchanting figure. Luxuriant, golden hair cascaded down her snow-white shoulders, like a young shepherd spreading a feeble flock from slope to slope. Her tiny marble-like feet were being washed by the currents of the clear stream. Beside her lay discarded wilted forest flowers and a wreath of yellow primroses.
Като ме видя, тя трепна и срамежливо прибра краищата на чудния си воал, готова да избяга.	.i ra fau gi mi zgana gi co'i suksa muvdu gi'e ba bo toldarsi jai gau jmaji fai le'i korbi be le banli murta pe ra fau lo nu ra bredi lo ka ba bajra klama fi	Upon seeing me, she flinched and shyly gathered the edges of her marvelous veil, ready to flee.
— Постой, очарователно момиче — извиках аз, пленен и влюбен.	i fe lu e'o do stali doi pluka ninmu cu cladu cusku fa mi fau lo nu mi manci gi'e prami	«Wait, enchanting maiden,» I exclaimed, captivated and in love.
Тя ме погледна страхливо със сините си като синчец очи и мигом ги скри под черни гъсти ресници. Па наведе глава. Момински срам цъфна като великолепни рози на белите й страни. Две пъргави трапчинки, малки като прилистничето на „залисът“, затрепкаха смутено зад краищата на мъничките й алени уста. От бялата й гушка, върху голите й девствени гърди играеше светло отражение като от огледало.	i ra terpa zgana mi lo ka se kanla lo skari be lo ka bluueta i je ra zi mipri le kanla le nenri be le kalgaikre noi xekri gi'e viknu i ba bo ra jai gau dizlo fai le stedu i ra frati lo ka se molmla nu'i ge co'u ku lo blabi gi co'a ku lo xunre ne tai lo rozgu i le re zabna cinje noi cmalu lo ka simsa lo punli be lo dizlo be lo pezli be le'e spatirusku cu xanka slilu ti'a le korbi be le xunre je cmalu moklu be ra i le blabi cnebo be ra cu kelci minra lo carmi fo le cpana be le lunbe tatru be ra tai lo nu le nei cu vinmirtci	She looked at me fearfully with her cornflower-blue eyes and instantly hid them under thick, black lashes. Then she bowed her head. Maidenly shyness bloomed like magnificent roses on her pale cheeks. Two nimble dimples, tiny as a stipule of butcher's-broom, quivered nervously behind the corners of her small, crimson lips. From her white neck, a light reflection, as if from a mirror, played upon her bare, virgin chest.
Аз спрях пред нея като изумен. Тя не ме поглеждаше. По лицето й бе изписана безкрайна скръб, от гъстите й ресници закапаха една след друга, като зърна Маргарит, едри бистри сълзи и поточето ги отнисаше надолу. Гората беше хладна и мълчалива. Неподвижно стоеха вековните дървета и мислеха за нещо.	.i mi co'a sanli ca'u ra tai da'i lo nu mi manci i ra na zgana mi i mo'u ciska lu'e lo nu ze'e badri kei fi le flira be ra ije fi le viknu kalgaikre be ra cu porsi farlu le se klaku noi barda gi'e klina ku'o tai le nu le nei cu jemna i je le flecu cu bevri le go'i le cnita i le ricfoi cu lenku gi'e smaji i fa le noi renvi fi le nanca be li pa no no ku'o tricu cu na'e muvdu stali gi'e ca'o pensi su'o da i'u nai	I stood before her as if amazed. She wasn't looking at me. Endless sorrow was written on her face; one after another, large bright tears dripped from her thick lashes, like pearls, and a stream carried them away. The forest was cold and silent. The centuries-old trees stood motionless, contemplating something.
— Кажи ми, прекрасно момиче — извиках аз в изстъпление, — коя си ти?	i fe lu ko skicu fi mi doi pluka ninmu cu cladu cusku fa mi fau lo nu nu mi manci i ba bo go'i lu do klesi ma li'u	«Tell me, lovely maiden,» I cried out in awe, «who are you?»
Тя мълчеше.	.i ra stodi lo ka smaji	She remained silent.
— Коя си и защо тъй горчиво плачеш? Изгубена ли си? Пътя ли си сбъркала в тая страшна гора?	i lu do klesi ma ije ki'u ma do badri be tai klaku i xu do co'a cirko tu'a le farna i pei do co'u djuno fi le farna be fi le bu'u mabla ricfoi li'u co'e	«Who are you, and why do you cry so bitterly? Are you lost? Have you lost your way in this dreadful forest?»
Тя ме погледна със светлосините си очи и каза през сълзи:	i ra zukte lo ka zgana mi lo ka se kanla be le blabi blanu gi'e cusku bai le nu klaku kei	She looked at me with her light blue eyes and said through tears:
— Аз съм самодива.	fe lu mi ricfoi crida li'u	«I am a forest nymph.»
Думите й прозвучаха тихо и сладко, като песен. Тя стана и пак заприбира краищата на своя воал.	i le valsi be ra cu se bacru ta'i lo nu tolycladu gi'e kukte pe'a tai lo nu le nei cu se sanga i ra co'a ku sanli gi'e jai gau muvdu le trixe fai le korbi be le murta taxfu poi ra dasni	Her words sounded quietly and sweetly, like a song. She stood up and again pulled back the edges of her veil.
— Моля ти се, постой, постой, прекрасно горско момиче, постой да те погледам — извиках аз умолително и заговорих: — Още от люлката си бедна аз съм слушал за тебе чудни приказки и песни и съм се обайвал, и съм жадувал да те видя. През много нощи в детинските ми години ти си се явявала в сънищата ми и си ми пяла дивни песни, и си ми кичила главата с цветя.	i fe lu e'o sai doi do'u e'o e'o doi le ricfoi ninmu do'u e'o mi catlu do cu pikci cusku fa mi i ba bo go'i lu pu ki ca le po'o nai nu mi zvati le ckana be fi lo'e cifnu cu skicu fi mi fe lo zabna ranmi be do fe la'e lo se sanga poi jufra do i je mi manci gi'e audji lo ka co'a zgana do i mi ca le nu mi verba kei so'i roi ku ca lo nicte cu senva tu'a do fe lo nu do sanga fi mi fe lo jai se manci gi'e punji fi le stedu be mi fe lo xrula noi ja'e jadni ri	«Please, wait, wait, beautiful forest maiden, wait for me to gaze upon you,» I implored and continued, «Ever since my poor cradle, I have heard wondrous tales and songs of you, and I have been enchanted, longing to see you. In many nights of my childhood, you appeared in my dreams, singing me enchanting songs, adorning my head with flowers.
Кога бях буен юноша, ти пак смущаваше моите нощи и ми се явяваше огнена и пленителна, прегръщаше ме страстно в топлите си обятия, нежна, ласкателна, дъхаща на горски цветя и упоителна до забрава. Теб дълго са те гонили мечтите ми, дълго моето сърце те е жадувало и обичало. Нощем в потайно време съм се сепвал и събуждал, дано чуя нощните ти песни, дано те видя хвърчаща под тайнствените небеса! Но ти? Къде беше ти, та не могох нито да те видя, нито да те чуя? И до днес още аз обръщам очите си към горите и ги гледам с надежда и желание да оставя шумния град, да ида да те диря…	i ca le nu mi cilce verba be pu zi ku do ca'o raktu mi lo ka senva ma kau gi'e jai se senva mi fai lo nu do fagri gi'e kavbu gi'e jgari mi le ka se xance lo milxe glare kei tai lo nu do ralci gi'e milxe satre gi'e se panci lo ricfoi xrula gi'e vindu ja'e lo nu de'a sanji i mi pu ta'e senva lo nu mi jersi do ije le risna be mi pu ku audji tu'a do gi'e prami do i pu ta'e ku ca lo nicte mi di'a cikna tai lo da'i nu mi tirna lo nicte se sanga be do gi'e viska lo nu do vofli ni'a lei cizra tsani i ku'i do i do pu zvati ma ja'e lo nu mi tu'a do na ku ka'e ku viska gi'a tirna i ba'e nau ku mi ta'e catlu le ricfoi gi'e zgana ri fau lo nu mi pacna gi'e djica lo nu mi cliva le cladu tcadu te zu'e lo nu mi klama gi'e penmi do li'u	When I was a turbulent youth, you still disturbed my nights and appeared fiery and captivating, embracing me passionately in your warm embrace, tender, caressing, smelling of forest flowers and intoxicating to oblivion. Long have you haunted my dreams, long has my heart desired and loved you. At night in secret hours, I have awoke to hear your nocturnal songs, to see you soaring under mysterious skies! But you? Where were you, that I could neither see you nor hear you? Even now, I turn my eyes to the forests and look at them with hope and desire to leave the noisy city, to go and search for you...»
— Ти си от градовете, а? — учудено извика горското момиче и ме погледна презрително. Устата му се свиха злобно. — От градовете, а? Ти си от ония хора, дето ни пропъдиха из горите? Хубаво! Падна ми в ръцете… На теб ще си отмъстя зарад всички. Казвай! Защо ни отнехте овчарите, защо прокарахте в канали горските реки, защо ни изсичате горите, защо ни проглушихте планините с пищенията на железници, защо развалихте с фабричен дим въздухът, защо отнехте радостта и безгрижието из сърцата на хората, защо ги направихте неспособни да обичат? Защо?	i fe lu do xabju lo tcadu vau je'u pei li'u se spaji je cladu cusku fa le ricfoi ninmu gi'e catlu mi ta'i lo nu ra se rigni ije le moklu be ra co'a se cinje ije cusku lu lo je'u pei tcadu i do me le jai gau cliva fai mi'a le za'u ricfoi i zabna i mi mo'u kavbu do i ai mi venfu do tu'a ro do'o i ko ciksi i mu'i ma do'o pu ku lebna tu'a le dalgidva gi'e jmina le te rirxe le naxle gi'e katna le za'u ricfoi pe mi'a gi'e jai gau bilma fai le za'u cmana pe mi'a fi lo ka se savru le se cupra be le do'o trene i mu'i ma do'o pu jai gau zandi fai le vacri le danmo be lo fanri i mu'i ma do gasnu le nu le prenu co'u gleki gi'e co'u zifre lo ka na kurji kei gi'e co'u ka'e prami i mu'i ma li'u	«You are from the cities, aren't you?» the forest maiden exclaimed incredulously, looking at me disdainfully. Her lips curled with malice. «From the cities, aren't you? You are one of those people who drove us out of the forests? Well then! You've fallen into my hands... I will take revenge on you for all of us. Speak! Why did you take away our shepherds, why did you divert the forest rivers into canals, why did you cut down our forests, why do you deafen our mountains with the screams of railways, why did you spoil the air with factory smoke, why did you take away joy and carefreeness from people's hearts, why did you make them unable to love? Why?»
Горското момиче тупна гнявно с крак, оправи с красиви движения на голите си ръце буйните си коси и заплака от яд с глас:	i le ricfoi ninmu cu fengu darxi le loldi le jamfu gi'e melbi pilno le lunbe xance lo nu cnici fa le cilce kerfa be ra i je ja'e le nu ra fengu kei ra co'a klaku cusku	The forest maiden stamped her foot angrily, gracefully adjusted her wild hair with her bare hands, and cried out with a voice full of anger:
— Ах! Аз не съм вече омайната горска самодива! Ний не летим вече дружно из горите, не се къпем весело в потоците, не играем лудо на месечина. Ний сме пръснати и тъжни. Вий ни отнехте планинските овчари млади, нашите безгрижни и волни любовници. В усоите вече не ехтят влюбените им кавали, под ведрите нощни небеса се не носят вече страстните им въздишки, не вайкат се вече те по нас, не чезнат, не вехнат за нас…	lu ianai i mi ba'o xlura ke ricfoi crida i mi'a ba'o simxu lo ka kansa fi lo ka vofli bu'u lo ricfoi i mi'a ba'o zukte lo ka gleki jinru lo ve'i rirxe i mi'a ba'o cilce kelci ca lo nu le lunra cu te gusni i mi'a ca cu spofu gi'e badri i do'o pu lebna tu'a le citno dalgidva pe loi cmana zi'e noi se prami lo me mi'a gi'e na'e dunku gi'e zifre i le zgike poi sance lo flani pe le dalgidva pu je ca nai se minra fo le se stuzi be lo jbini be lo'i su'o cmana i je le sance be le nu le dalgidva cu cinmo vasxu cu pu je ca nai se bevri ni'a le klina tsani ca lo nicte i ba'o ku le dalgidva cu klaku fi tu'a mi'a gi'a senva tu'a mi'a gi'a zenba lo ka kandi ri'a tu'a mi'a	«Ah! I am no longer the enchanting forest nymph! We no longer fly together through the forests, we no longer happily bathe in the streams, we no longer play wildly in the moonlight. We are scattered and sad. You have taken from us the young mountain shepherds, our carefree and free-spirited lovers. In the groves, no longer do their loving flutes echo, under the clear night skies, no longer do their passionate sighs carry, they no longer wail for us, they do not yearn, they do not fade away for us...
Вий там от градовете им създадохте нови грижи и погубихте и нас, и тях… Изгубиха се, безследно се изгубиха немирни юнаци, кои на луди коне се носеха над поля и планини, вършеха подвизи, гинеха и печелеха победи. Сега по горските пътеки изрядко ще мине човек. И той — слаб, загрижен, умислен, останал без душа, озлобен и тъжен! Оставиха ни хората, и нещастни са без нас. Тия големи градове, що се издигнаха над земята, издигнаха се над разрушените човешки сърца. Селата приличат на гробища. Във великолепните ви храмове се не моли вече никой. Аз любех един млад планинец, но той ме разлюби и го няма вече. Аз съм тъжна и убита. Денонощно се лутам из горите, викам го, плача, но напразно — медният му кавал се не обади отникъде…	i do'o ne le za'u tcadu cu gasnu le cnino nabmi e le daspo be ge mi'a gi le dalgidva .i le dalgidva cu canci gi'e canci fau le nu ri te prina fi no da kei gi'e me le na'e cando virnu noi klama fo lu'i le foldi e le cmana fu lo ka se marce lo cilce xirma zi'e noi gasnu lo banli zi'e noi ta'e ku su'o me ke'a co'a morsi gi'a jinga i nauku so'u roi ku su'o remna cu klama fo lu'i le klaji pe le ricfoi i ro go'i cu ruble gi'e dunku gi'e du'e va'e pensi gi'e na'e cinmo gi'e to'e ckire gi'e badri i le'e remna mo'u cliva mi'a gi'e na'e gleki fau le nu le nei na kansa mi'a i le banli tcadu ku voi cpana le terdi cu cpana le spofu risna be lo remna i le nurma tcadu cu simsa lo'e muzga be lo morsi i bu'u le do'o banli malsi ba'o ku su'o da pikci i mi pu prami le pa citno pe le cmana i je ku'i ba bo le se go'i co'u prami mi gi'e cliva i mi badri gi'e spofu i ca le'e nicte e le'e donri mi klama fo lu'i le za'u ricfoi gi'e lausku le cmene be ra i ku'i fliba i le lastu flani be ra no roi se sance to'o su'o da li'u	You, from the cities, created new worries for them and destroyed us, and them... They were lost, lost without a trace, those restless heroes, who once rode wild horses over fields and mountains, performing feats, dying and winning victories. Now, scarcely will a man pass through the forest paths. And he — weak, concerned, thoughtful, soulless, embittered and sad! People left us, and they are unhappy without us. Those great cities, towering above the earth, rose above broken human hearts. Villages resemble cemeteries. In your magnificent temples, no one prays anymore. I loved a young mountaineer, but he fell out of love with me and is gone. I am sad and broken. Day and night I wander through the woods, calling out to him, crying, but in vain — his brass flute never sounds from anywhere...»
Като каза това самодивата, отново се разплака.	i ba le nu le nei cu cusku di'u kei le crida co'a klaku	As the nymph said this, she began to cry again.
— Мълчи, мълчи, бедно горско момиче, не плачи — извиках аз. — Ето ти моето сърце, жъдно за любов като твоето. Ела, да съединим нашите страдания!	i fe lu smaji e'o i smaji e'o doi pindi ke ricfoi ninmu i ko na klaku li'u cladu cusku fa mi i ba bo go'i fe lu i ti risna mi gi'e audji lo ka prami kei gi'e simsa le risna be do ka bu i gau mi'o e'ei lei nu lifri lo xlali cu pamei	«Hush, hush, poor forest maiden, do not cry,» I cried out. «Here is my heart, longing for love like yours. Come, let us unite our sufferings!»
Самодивата ме стрелна гнявно с очите си.	i le crida cu fengu zgana mi lo ka se kanla	The forest nymph glared at me angrily.
— Ти? Един гражданин… един чи-нов-ник? Да ми замениш овчаря? Колко си жалък!	i to'i cusku toi do xu i do me le tcaxa'u i va'i me le se gugde sei sa'a se cusku co masno i tezu'e lo nu basti le dalgidva i tai kecti do	«You? A citizen... a city-dweller? To replace my shepherd? How pitiful you are!»
И тя красиво и презрително се изсмя.	i ra melbi je se rigni cmila	And she laughed beautifully and scornfully.
— Ела, диво горско момиче, ела! Обичам те! Искам да обадя на хората, които са те забравили, че ти си жива, че ти си още хубава, че сърцето ти още знае да обича, че си тъжна и нещастна…	i ko klama doi cilce je ricfoi ninmu i ko klama i mi prami do i au mi skicu fi le prenu noi ke'a fi do co'u morji ce'e fe le nu do ca'o renvi gi'e ca'o melbi ce'e fe le nu le risna be do ca'o ka'e prami ce'e fe le nu do badri gi'e se betri	«Come, wild forest maiden, come! I love you! I want to call out to the people who have forgotten you, to remind them that you are alive, that you are still beautiful, that your heart still knows how to love, that you are sad and unhappy...»
Аз паднах на колени и протегнах ръце да я прегърна. Из чантата ми изпаднаха няколко тома книги, които носех за прочит…	i mi co'a sanli fi le ka se tupcidni kei gi'e punji le xance le crane mu'i lo nu mi jgari ra i fi le dakli pe mi cu farlu so'o le slecku noi mi bevri ke'a mu'i lo nu mi tcidu fi ke'a	I fell to my knees and stretched out my arms to embrace her. Out of my bag fell several volumes of books, which I was carrying for reading...
— Ах — изпищя — самодивата ужасена.	i fe lu oi li'u terpa cusku fa le crida	«Ah,» exclaimed the forest nymph in horror.
И като събра прозрачно-мъгливият си воал — избяга.	i je ba le nu ra co'a jgari le klina bumru murta pe ra kei ra co'a bajra cliva	And gathering her transparent-foggy veil, she ran away.