glico	lojbo gi'e se fanva la gleki	lojbo fi'e se fanva la pimlu
English original	ni'o ni'o bau le lojbo	ni'o ni'o bau le lojbo
Navy Seal Copypasta	la .navisil.	la .navisil.
http://knowyourmeme.com/memes/navy-seal-copypasta		
English original	.i fanva fa la gleki	.i fanva fa la pimlu
What the fuck did you just fucking say about me, you little bitch?	.i sei mabla ma mabla se smusku do gi'e srana mi doi cmalu gerku pe'a	.i ma pe mi do ga'i mabla se cusku
I’ll have you know I graduated top of my class in the Navy Seals, and I’ve been involved in numerous secret raids on Al-Quaeda, and I have over 300 confirmed kills.	.i ko djuno le du'u mi traji le ka zabna vau fo le'i mo'u tadni be bu'u la .nevisils. gi'e pu'i so'i roi smaji gunta la alkaida .i je fatci fa le du'u mi catra za'u ci no no prenu	.i .eidai do djuno lodu'u mi kulmu'o co xagrai lo tadni la .nevi.sils. gi'e so'iroi mipri gunta la .al.kaidas. gi'e za'u cinono roi birti catra
I am trained in gorilla warfare and I’m the top sniper in the entire US armed forces.	.i mi certu le ka jamna fau le nu mi cmima lo so'u mei jenmi .i je mi traji le ka zabna vau fo le'i jai gau cecla pe le merko bilni	.i mi certu loka tsasmani jamna kei gi'e crerai loka satcygunta kei lo merko bilni
You are nothing to me but just another target.	.i do mi se xarci sa'u	.i do ma'i mi se xarci po'o
I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words.	.i mi ba mabla vimcu do i je le nu go'i cu satci le no roi se zgana be bu'u le terdi .i ko jundi le mi mabla zabna valsi	.i mi ba mabla vimcu do soi lo simsa be ke'a noroi se zgana vi lo terdi
You think you can get away with saying that shit to me over the Internet?	.i xu do krici le du'u do kakne le ka rivbi va'o le nu do cusku le bi'u nai mabla fo le kibro	.i xu krici lodu'u kakne lonu kibro cusku lo mabla gi'e rivbi
Think again, fucker.	.i ko za'u re'u pensi doi jai se bapli	.i ko za'ure'u mabla jurpei
As we speak I am contacting my secret network of spies across the USA	.i ca le nu mi'o casnu vau mi cusku fo le mi sivni se tcana be le sivni zgana bei ve'u le merko	.i ca lonu mi'o casnu ku mi tavla lo mi mipri seltcana be loi mipyzga bei ve'u lo merko
and your IP is being traced right now so you better prepare for the storm, maggot.	.i ji'a le judri be do bei le kibro pu'o jai se facki i se ki'u bo do cu e'u bredi tu'a lo vlile doi jerna be no da	.iji'a lo do samjudri ca se cipcta semu'i lonu .e'u do do bregau tu'a lo vilti'a
The storm that wipes out the pathetic little thing you call your life.	.i ri jai rinka le nu lo ruble co'u fasnu .i je ri se renvi do	.i ri jai daspo lo ruble po'u lo li'i do jmive
You’re fucking dead, kid.	.i do ga'i mabla morsi	.i do ga'i malmro
I can be anywhere, anytime, and I can kill you in over seven hundred ways, and that’s just with my bare hands.	.i ro da poi stuzi vau ro de poi se tcika zo'u mi ka'e zvati bu'u da pe'e ja ca de .i je za'u ze no no tadji le nu da'i mi jai gau morsi fai do ca le nu ta'o mi pilno lei po'o xance be mi	.i mi ka'e zvati ro stuzi ca ro mokca gi'e ka'e mrogau do ta'i za'u zenono da sepi'o lo po'o mi xance
Not only am I extensively trained in unarmed combat, but I have access to the entire arsenal of the United States Marine Corps	.i ge mi certu le ka pilno no xarci le ka damba gi ji'a ro da poi xarci fi le merko ke xamsi se sonci zo'u mi se krali le ka pilno da	.i mi bancre loka nalxarci damba kei gi'e ji'a se gubni ro lo xarci poi se ponse lo mergu'e
and I will use it to its full extent to wipe your miserable ass off the face of the continent, you little shit.	.i je mi ba pilno su'o xarci bi'u nai se la'u li ro le ka vimcu le mabla ganxo be do le flira pe'a be le braplu doi cmalu kalci pe'a	.i ba pilno lo xagrai be lo xarci loka jisygau lo braplu do
If only you could have known what unholy retribution your little “clever” comment was about to bring down upon you,	.i da'i pu ku ga nai do djuno le du'u pu'o to'e censa cnemu do le ka stati ia dai piksku vau ma kau	.i da'i do pu djuno lodu'u makau tolcesna tolne'u fi loka do menstati ba'e simlu be fi do se pinka
maybe you would have held your fucking tongue.	gi ju'o cu'i do mabla smaji	.isemu'ibo do mabla smaji
But you couldn’t, you didn’t,	.i ku'i do na kakne gi'e na ckaji	.iku'i do na kakne loka go'i gi'e na ckaji ri
and now you’re paying the price, you goddamn idiot.	.i ca ku do pleji doi bebna co se dapma be lo cevni	.i do noi malbebna cu pleji
I will shit fury all over you and you will drown in it.	.i pe'a mi ba ku fai le kalci cu jai gau carvi do .i je do jinru ri	.i mi ba cavgau lo camfe'u do noi ba jaurvasmro ra
You’re fucking dead, kiddo.	.i ke'u ge'e ga'i do mabla morsi	.i ke'u do malmro vau ga'i